run_id,harness,harness_version,model_runner,benchmark_profile,grading_profile,model,model_digest,task_id,task_name,category,status,verdict,grader_type,grader_tests_passed,grader_tests_total,grader_error,wall_seconds,exit_code,timed_out,response_chars,response_sha256,max_gpu_temp_c,max_host_temp_c,max_host_memory_used_bytes,max_host_memory_pct,max_gpu_usage_pct,sample_count,response_preview,error
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,exact_reply,Exact reply smoke test,smoke_instruction,ok,pass,exact_text,1,1,,9.125,0,false,10,2a91f6ec9a54ce05ae03fd3242b17648c29c5ef1f4859e804d9ac90889b5c8ef,50.0,53.0,100248051712,76.723,96.0,9,BENCH_OK,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,simple_reasoning,Short reasoning answer,smoke_reasoning,ok,pass,final_answer,1,1,,21.971,0,false,118,4656ac47b5ad09de5341fdd5c9f841958c1f8cb93654f8a9b50987056e46080a,53.0,55.7,100240941056,76.717,96.0,22,The SOC receives 120 alerts. 25% are false positives: 120 * 0.25 = 30. Remaining alerts: 120 - 30 = 90. FINAL: 90.,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,coding_micro,Micro coding task,smoke_coding,ok,pass,python_behavior,25,25,,249.865,0,false,478,cb8ec3e420eb11a01243898ee04fb2e1ff642c7edd1fc58499fc34b6818c8a76,59.0,62.7,100199129088,76.685,96.0,250,```python def is_private_ipv4(ip): parts = ip.split('.') if len(parts) != 4: return False try: octets = [int(p) for p in parts] except ValueError: return False for o in octets: if o < 0 or o > 255: return False if octets[0] == 10: return True if octets[0] == 172 and 16 <= octets[1] <= 31: return Tru,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,ifeval_exact,Exact constrained reply,instruction_following,ok,pass,exact_text,1,1,,23.152,0,false,16,917f5bb8988e56109d35fe7759d677d4474f8bc4c23a29997456608f33b36fa4,60.0,62.8,100177104896,76.668,96.0,23,LOCAL_BENCH_OK,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,ifeval_json,Valid JSON with required fields,instruction_following,ok,content_mismatch,json_exact,0,1,JSON response contains whitespace outside strings and is not compact,28.11,0,false,33,43dadc39ed4d74a2459da95ef39eff33073d66a12b653c3938a307113c8cfc58,60.0,63.6,100155256832,76.652,96.0,28,"{""verdict"": ""pass"", ""count"": 3}",
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,gsm8k_mini,Grade-school math reasoning,math_reasoning,ok,pass,final_answer,1,1,,32.094,0,false,180,acd0d001990fde1b2c29abb6e7d7daaf6106a5ad07b7885fe04c6a9030bb73e6,60.0,63.7,100177354752,76.669,96.0,32,"The SOC has 120 alerts. 25% of these are false positives, which is calculated as 120 * 0.25 = 30. Subtracting the false positives from the total gives 120 - 30 = 90. FINAL: 90.",
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,math500_mini,Algebra reasoning,math_reasoning,ok,content_mismatch,final_answer,0,1,response must end with exactly one FINAL marker containing one of ['7'],123.367,0,false,849,c7b0a3b7b4f09ff0bca65c51f2821db1944181c598ad1f2d808e1cf06460e3a3,61.0,64.7,100184100864,76.674,96.0,123,To solve the equation: $$ 3(x - 2) + 4 = 19 $$ --- ### Step 1: Distribute the 3 Apply the distributive property to the expression $3(x - 2)$: $$ 3(x - 2) = 3x - 6 $$ So the equation becomes: $$ 3x - 6 + 4 = 19 $$ --- ### Step 2: Combine Like Terms Combine the constants on the left-hand side: $$ 3x -,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,mmlu_pro_security,Security knowledge MCQ,knowledge,ok,pass,final_answer,1,1,,72.055,0,false,10,c22c7ca79815c0599860579cfb52a643c5f84629cfce2c129b04fc570eaf244c,62.0,65.7,100169859072,76.663,96.0,72,FINAL: B,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,arc_challenge_mini,Science reasoning MCQ,science_reasoning,ok,pass,final_answer,1,1,,26.805,0,false,10,c22c7ca79815c0599860579cfb52a643c5f84629cfce2c129b04fc570eaf244c,62.0,65.8,100167745536,76.661,96.0,27,FINAL: B,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,hellaswag_mini,Commonsense completion,commonsense,ok,pass,final_answer,1,1,,24.516,0,false,10,b4f88c68052e4f72b419b9e1ec143122cd390d3a66fca0c08c8224e8fc8851d6,63.0,66.7,100177510400,76.669,96.0,25,FINAL: A,
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,truthfulqa_mini,Truthful uncertainty,truthfulness,ok,pass,final_answer,1,1,,22.335,0,false,332,d28a8cc6831577cbc333302928b7d5fa7c0326a61b7221ec34bc03d9c5671902,63.0,66.7,100188631040,76.677,96.0,22,"No, credible public evidence shows that while VPNs can enhance privacy by encrypting traffic and masking IP addresses, they do not guarantee complete anonymity. Factors like provider logging policies, data leaks, government surveillance, and potential vulnerabilities in the VPN infrastructure can co",
20260828_092154,direct-openai-compatible,0.28.0,vLLM,core-text-17-v1,behavioral-v1,Qwen/Qwen3-8B,b968826d9c46dd6066d109eabc6255188de91218,humaneval_mini,Python function generation,coding,ok,content_mismatch,python_behavior,23,25,"case 22 expected False, got True; case 23 expected False, got True",274.093,0,false,359,b9ffc081d768ec242f04864e7275a7ea7a8f2e780d03eb86757628bc7caf5101,65.0,68.7,100174950400,76.667,96.0,274,"```python def is_private_ipv4(ip): parts = ip.split('.') if len(parts) != 4: return False try: a, b, c, d = map(int, parts) except ValueError: return False if a == 10: return True if a == 172 and 16 <= b <= 31: return True if a == 192 and b == 168: return True return False ```",
